regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,1.0,0.5,0.5,0.5,0.2205625765109898,0.7365,0.068
misspec,1.0,0.5,0.5,0.75,0.13420272670235334,2.366,0.004
misspec,1.0,0.5,0.5,1.0,0.08862681067630108,3.792,0.0
misspec,1.0,0.5,0.5,1.5,0.04015752574968971,5.5415,0.0
misspec,1.0,0.5,0.5,2.0,0.02206110197686806,6.292,0.0
misspec,1.0,0.5,0.75,0.5,0.2948409553828145,0.1195,0.303
misspec,1.0,0.5,0.75,0.75,0.1875855426536674,1.086,0.0175
misspec,1.0,0.5,0.75,1.0,0.12351011704330628,2.5945,0.001
misspec,1.0,0.5,0.75,1.5,0.056034618923199504,4.8775,0.0
misspec,1.0,0.5,0.75,2.0,0.028889920820970787,5.9645,0.0
misspec,1.0,0.5,1.0,0.5,0.3573628862345393,0.0135,0.594
misspec,1.0,0.5,1.0,0.75,0.22646164416269382,0.4395,0.081
misspec,1.0,0.5,1.0,1.0,0.15369636686837915,1.665,0.0065
misspec,1.0,0.5,1.0,1.5,0.07111842945032691,4.2565,0.0
misspec,1.0,0.5,1.0,2.0,0.03558425356617408,5.642,0.0
misspec,1.0,0.5,1.5,0.5,0.3915907511607215,0.0,0.8885
misspec,1.0,0.5,1.5,0.75,0.2899132646526634,0.052,0.2805
misspec,1.0,0.5,1.5,1.0,0.2101595665389652,0.647,0.032
misspec,1.0,0.5,1.5,1.5,0.0970849080359564,3.236,0.0
misspec,1.0,0.5,1.5,2.0,0.047985428731966775,5.052,0.0
misspec,1.0,0.5,2.0,0.5,0.43021471608158846,0.0,0.976
misspec,1.0,0.5,2.0,0.75,0.3429941871255382,0.0025,0.516
misspec,1.0,0.5,2.0,1.0,0.2472507970281859,0.197,0.1045
misspec,1.0,0.5,2.0,1.5,0.12364720124285518,2.3455,0.0015
misspec,1.0,0.5,2.0,2.0,0.060769353776585947,4.4825,0.0
misspec,1.0,0.75,0.5,0.5,0.2257880273462283,0.087,0.421
misspec,1.0,0.75,0.5,0.75,0.15468509060580632,0.5775,0.0915
misspec,1.0,0.75,0.5,1.0,0.12079713036214847,1.3895,0.007
misspec,1.0,0.75,0.5,1.5,0.07344704008354176,3.2885,0.0
misspec,1.0,0.75,0.5,2.0,0.04712043854219906,4.617,0.0
misspec,1.0,0.75,0.75,0.5,0.2781963375794034,0.007,0.825
misspec,1.0,0.75,0.75,0.75,0.21491609817277882,0.067,0.3335
misspec,1.0,0.75,0.75,1.0,0.16084421744430658,0.424,0.072
misspec,1.0,0.75,0.75,1.5,0.10227974853118335,2.007,0.003
misspec,1.0,0.75,0.75,2.0,0.06292343624633719,3.664,0.0
misspec,1.0,0.75,1.0,0.5,0.3007739768081624,0.001,0.9675
misspec,1.0,0.75,1.0,0.75,0.25002919655909855,0.0075,0.6145
misspec,1.0,0.75,1.0,1.0,0.20060563066191614,0.1075,0.2045
misspec,1.0,0.75,1.0,1.5,0.12049215259308113,1.149,0.0075
misspec,1.0,0.75,1.0,2.0,0.07906709758139914,2.8135,0.0
misspec,1.0,0.75,1.5,0.5,0.32715446194103914,0.0,0.998
misspec,1.0,0.75,1.5,0.75,0.28163668311454937,0.0,0.8995
misspec,1.0,0.75,1.5,1.0,0.2437430405348969,0.004,0.529
misspec,1.0,0.75,1.5,1.5,0.16462806406294528,0.3455,0.0415
misspec,1.0,0.75,1.5,2.0,0.10637241381451046,1.5685,0.0055
misspec,1.0,0.75,2.0,0.5,0.33788035587882653,0.0,1.0
misspec,1.0,0.75,2.0,0.75,0.2936982108210485,0.0,0.978
misspec,1.0,0.75,2.0,1.0,0.26728212614400787,0.0,0.7575
misspec,1.0,0.75,2.0,1.5,0.17695466301893797,0.085,0.131
misspec,1.0,0.75,2.0,2.0,0.12709914842157896,0.814,0.013
misspec,1.0,1.0,0.5,0.5,0.20449228922177556,0.021,0.7195
misspec,1.0,1.0,0.5,0.75,0.15832911307069142,0.1415,0.331
misspec,1.0,1.0,0.5,1.0,0.12938348700692182,0.439,0.0995
misspec,1.0,1.0,0.5,1.5,0.09288408373008059,1.505,0.0065
misspec,1.0,1.0,0.5,2.0,0.06681289495984112,2.7415,0.0005
misspec,1.0,1.0,0.75,0.5,0.22896150862764028,0.0,0.9665
misspec,1.0,1.0,0.75,0.75,0.20655994922732265,0.0065,0.718
misspec,1.0,1.0,0.75,1.0,0.18105292625969216,0.049,0.3655
misspec,1.0,1.0,0.75,1.5,0.13169250900775217,0.4925,0.0385
misspec,1.0,1.0,0.75,2.0,0.08982947536802857,1.485,0.0055
misspec,1.0,1.0,1.0,0.5,0.2538125024522659,0.0,0.9975
misspec,1.0,1.0,1.0,0.75,0.22880211617145593,0.0,0.9105
misspec,1.0,1.0,1.0,1.0,0.20080737025573236,0.005,0.6305
misspec,1.0,1.0,1.0,1.5,0.1440439095097222,0.144,0.1165
misspec,1.0,1.0,1.0,2.0,0.1096195629422996,0.73,0.01
misspec,1.0,1.0,1.5,0.5,0.25684714029927064,0.0,1.0
misspec,1.0,1.0,1.5,0.75,0.2517176675230977,0.0,0.9945
misspec,1.0,1.0,1.5,1.0,0.22394313052850193,0.0,0.9125
misspec,1.0,1.0,1.5,1.5,0.17885431084964973,0.0065,0.3525
misspec,1.0,1.0,1.5,2.0,0.1420185837086939,0.1585,0.074
misspec,1.0,1.0,2.0,0.5,0.2610056617929922,0.0,1.0
misspec,1.0,1.0,2.0,0.75,0.2521673785036262,0.0,1.0
misspec,1.0,1.0,2.0,1.0,0.23039553936260357,0.0,0.98
misspec,1.0,1.0,2.0,1.5,0.20076749558191012,0.001,0.6015
misspec,1.0,1.0,2.0,2.0,0.15054564067276271,0.043,0.1735
misspec,1.0,1.5,0.5,0.5,0.17378458095919003,0.003,0.9325
misspec,1.0,1.5,0.5,0.75,0.15443369938460846,0.0115,0.7515
misspec,1.0,1.5,0.5,1.0,0.14546974692240414,0.04,0.48
misspec,1.0,1.5,0.5,1.5,0.1096592906959412,0.2555,0.118
misspec,1.0,1.5,0.5,2.0,0.09515482046889863,0.704,0.0245
misspec,1.0,1.5,0.75,0.5,0.17889747814643597,0.0,0.999
misspec,1.0,1.5,0.75,0.75,0.16488618184776174,0.0,0.9715
misspec,1.0,1.5,0.75,1.0,0.16179101933039713,0.002,0.8665
misspec,1.0,1.5,0.75,1.5,0.13493580348213596,0.0155,0.421
misspec,1.0,1.5,0.75,2.0,0.10240460160149255,0.113,0.122
misspec,1.0,1.5,1.0,0.5,0.1848301108805794,0.0,1.0
misspec,1.0,1.5,1.0,0.75,0.17698179547926768,0.0,0.998
misspec,1.0,1.5,1.0,1.0,0.17828424540852825,0.0,0.9725
misspec,1.0,1.5,1.0,1.5,0.1613766346796714,0.001,0.679
misspec,1.0,1.5,1.0,2.0,0.12488993245800023,0.0175,0.2925
misspec,1.0,1.5,1.5,0.5,0.19607962773855556,0.0,1.0
misspec,1.0,1.5,1.5,0.75,0.18734862593634694,0.0,1.0
misspec,1.0,1.5,1.5,1.0,0.17609347015403343,0.0,1.0
misspec,1.0,1.5,1.5,1.5,0.16426078454598225,0.0,0.9255
misspec,1.0,1.5,1.5,2.0,0.15055434189678343,0.0005,0.6235
misspec,1.0,1.5,2.0,0.5,0.19328837158937393,0.0,1.0
misspec,1.0,1.5,2.0,0.75,0.19321548377352132,0.0,1.0
misspec,1.0,1.5,2.0,1.0,0.18510859096701462,0.0,1.0
misspec,1.0,1.5,2.0,1.5,0.16990596994034418,0.0,0.9855
misspec,1.0,1.5,2.0,2.0,0.15709205636397933,0.0,0.809
misspec,1.0,2.0,0.5,0.5,0.1437640000977756,0.0,0.979
misspec,1.0,2.0,0.5,0.75,0.13754900480504703,0.004,0.916
misspec,1.0,2.0,0.5,1.0,0.12805177822386923,0.006,0.78
misspec,1.0,2.0,0.5,1.5,0.10939760718040113,0.039,0.395
misspec,1.0,2.0,0.5,2.0,0.09737472000245526,0.127,0.152
misspec,1.0,2.0,0.75,0.5,0.1513980066793842,0.0,1.0
misspec,1.0,2.0,0.75,0.75,0.15511527202526004,0.0,0.9965
misspec,1.0,2.0,0.75,1.0,0.1400230230001131,0.0,0.9795
misspec,1.0,2.0,0.75,1.5,0.13649705172954665,0.0,0.794
misspec,1.0,2.0,0.75,2.0,0.11838410092421014,0.007,0.4605
misspec,1.0,2.0,1.0,0.5,0.16048954409820956,0.0,1.0
misspec,1.0,2.0,1.0,0.75,0.15207716908484145,0.0,1.0
misspec,1.0,2.0,1.0,1.0,0.14706304317902508,0.0,0.9985
misspec,1.0,2.0,1.0,1.5,0.1334046298736349,0.0,0.9455
misspec,1.0,2.0,1.0,2.0,0.12665539007968207,0.0,0.722
misspec,1.0,2.0,1.5,0.5,0.15552976721838066,0.0,1.0
