sigma_lam,lam_idx,lam_value,q,h_t0,mo_trigger_t0
0.1,0,0.08333333333333334,6,0.11032400937236596,False
0.1,0,0.08333333333333334,7,0.1189028240958975,False
0.1,0,0.08333333333333334,8,0.12579176520587987,False
0.1,0,0.08333333333333334,9,0.131155688387172,False
0.1,0,0.08333333333333334,10,0.13512596368776866,False
0.1,1,0.1287043420788649,0,0.0,False
0.1,1,0.1287043420788649,1,0.030334112423843523,False
0.1,1,0.1287043420788649,2,0.05333282594555137,False
0.1,1,0.1287043420788649,3,0.07188184429101276,False
0.1,1,0.1287043420788649,4,0.0871676128881079,False
0.1,1,0.1287043420788649,5,0.09984387010853474,False
0.1,1,0.1287043420788649,6,0.1103269336079227,False
0.1,1,0.1287043420788649,7,0.11890636119610017,False
0.1,1,0.1287043420788649,8,0.125795953114906,False
0.1,1,0.1287043420788649,9,0.13116056577827215,False
0.1,1,0.1287043420788649,10,0.1351315699402374,False
0.1,2,0.1987776920394417,0,0.0,False
0.1,2,0.1987776920394417,1,0.030342406467297137,False
0.1,2,0.1987776920394417,2,0.053350059096345416,False
0.1,2,0.1987776920394417,3,0.07190867549829334,False
0.1,2,0.1987776920394417,4,0.08720471434405992,False
0.1,2,0.1987776920394417,5,0.09989192662464533,False
0.1,2,0.1987776920394417,6,0.11038664201036552,False
0.1,2,0.1987776920394417,7,0.11897842974067174,False
0.1,2,0.1987776920394417,8,0.12588110092173177,False
0.1,2,0.1987776920394417,9,0.1312595222862556,False
0.1,2,0.1987776920394417,10,0.13524507438092911,False
0.1,3,0.3070026248866988,0,0.0,False
0.1,3,0.3070026248866988,1,0.030353913710839227,False
0.1,3,0.3070026248866988,2,0.05337396717664452,False
0.1,3,0.3070026248866988,3,0.07194589702738018,False
0.1,3,0.3070026248866988,4,0.08725618005152667,False
0.1,3,0.3070026248866988,5,0.09995858448286933,False
0.1,3,0.3070026248866988,6,0.11046945638709156,False
0.1,3,0.3070026248866988,7,0.11907838057954113,False
0.1,3,0.3070026248866988,8,0.1259991829510454,False
0.1,3,0.3070026248866988,9,0.13139674425591832,False
0.1,3,0.3070026248866988,10,0.1354024583271118,False
0.1,4,0.4741508502303256,0,0.0,False
0.1,4,0.4741508502303256,1,0.0303739075111254,False
0.1,4,0.4741508502303256,2,0.05341549194607036,False
0.1,4,0.4741508502303256,3,0.07201052110434332,False
0.1,4,0.4741508502303256,4,0.08734550133058291,False
0.1,4,0.4741508502303256,5,0.10007422885196891,False
0.1,4,0.4741508502303256,6,0.11061307621682577,False
0.1,4,0.4741508502303256,7,0.1192516532652674,False
0.1,4,0.4741508502303256,8,0.12620380950822363,False
0.1,4,0.4741508502303256,9,0.13163444796839793,False
0.1,4,0.4741508502303256,10,0.13567498344740264,False
0.1,5,0.7323032787003416,0,0.0,False
0.1,5,0.7323032787003416,1,0.030406775357833565,False
0.1,5,0.7323032787003416,2,0.053483711954671984,False
0.1,5,0.7323032787003416,3,0.07211662342295022,False
0.1,5,0.7323032787003416,4,0.08749205915051994,False
0.1,5,0.7323032787003416,5,0.1002638557165674,False
0.1,5,0.7323032787003416,6,0.11084842343057383,False
0.1,5,0.7323032787003416,7,0.11953540740424798,False
0.1,5,0.7323032787003416,8,0.1265386900318508,False
0.1,5,0.7323032787003416,9,0.13202320493147165,False
0.1,5,0.7323032787003416,10,0.13612039531035855,False
0.1,6,1.1310073402478775,0,0.0,False
0.1,6,1.1310073402478775,1,0.030504323229554077,False
0.1,6,1.1310073402478775,2,0.05368576155701389,False
0.1,6,1.1310073402478775,3,0.07243021352461672,False
0.1,6,1.1310073402478775,4,0.08792430401271091,False
0.1,6,1.1310073402478775,5,0.10082193611478517,False
0.1,6,1.1310073402478775,6,0.11153957811619836,False
0.1,6,1.1310073402478775,7,0.12036692500328217,False
0.1,6,1.1310073402478775,8,0.12751790137515898,False
0.1,6,1.1310073402478775,9,0.13315747580777307,False
0.1,6,1.1310073402478775,10,0.13741711962999434,False
0.1,7,1.7467866673556398,0,0.0,False
0.1,7,1.7467866673556398,1,0.030454837425584174,False
0.1,7,1.7467866673556398,2,0.05358372341998866,False
0.1,7,1.7467866673556398,3,0.07227257681903278,False
0.1,7,1.7467866673556398,4,0.08770804957624684,False
0.1,7,1.7467866673556398,5,0.10054407823030072,False
0.1,7,1.7467866673556398,6,0.11119717047808807,False
0.1,7,1.7467866673556398,7,0.11995706628284457,False
0.1,7,1.7467866673556398,8,0.12703774039201254,False
0.1,7,1.7467866673556398,9,0.1326042163163963,False
0.1,7,1.7467866673556398,10,0.13678802473220725,False
0.1,8,2.6978283452896883,0,0.0,False
0.1,8,2.6978283452896883,1,0.030631455542253407,False
0.1,8,2.6978283452896883,2,0.05395038378081384,False
0.1,8,2.6978283452896883,3,0.07284293941900666,False
0.1,8,2.6978283452896883,4,0.08849599337349597,False
0.1,8,2.6978283452896883,5,0.10156368478617382,False
0.1,8,2.6978283452896883,6,0.11246270815968452,False
0.1,8,2.6978283452896883,7,0.12148297504008873,False
0.1,8,2.6978283452896883,8,0.12883861711563266,False
0.1,8,2.6978283452896883,9,0.13469480077724216,False
0.1,8,2.6978283452896883,10,0.13918318609589167,False
0.1,9,4.166666666666667,0,0.0,False
0.1,9,4.166666666666667,1,0.030644112525451236,False
0.1,9,4.166666666666667,2,0.053976683093470076,False
0.1,9,4.166666666666667,3,0.07288388584848697,False
0.1,9,4.166666666666667,4,0.0885526099997812,False
0.1,9,4.166666666666667,5,0.1016370118684381,False
0.1,9,4.166666666666667,6,0.11255380205934885,False
0.1,9,4.166666666666667,7,0.12159290718133733,False
0.1,9,4.166666666666667,8,0.1289684729839663,False
0.1,9,4.166666666666667,9,0.1348456789562197,False
0.1,9,4.166666666666667,10,0.13935619734175003,False
