regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.75,2.0,0.5,0.5,0.12759553316723238,0.0,0.9845
misspec,0.75,2.0,0.5,0.75,0.11523944684622481,0.001,0.949
misspec,0.75,2.0,0.5,1.0,0.12407644775391585,0.0015,0.862
misspec,0.75,2.0,0.5,1.5,0.11373508764954912,0.01,0.565
misspec,0.75,2.0,0.5,2.0,0.08817998209874872,0.036,0.295
misspec,0.75,2.0,0.75,0.5,0.144219974819774,0.0,1.0
misspec,0.75,2.0,0.75,0.75,0.1419081049362554,0.0,0.999
misspec,0.75,2.0,0.75,1.0,0.12356814832451422,0.0,0.988
misspec,0.75,2.0,0.75,1.5,0.11924427014529815,0.0,0.8975
misspec,0.75,2.0,0.75,2.0,0.11693577189234253,0.0,0.6505
misspec,0.75,2.0,1.0,0.5,0.13987932008139317,0.0,1.0
misspec,0.75,2.0,1.0,0.75,0.13987315814831655,0.0,1.0
misspec,0.75,2.0,1.0,1.0,0.13811144904922223,0.0,0.999
misspec,0.75,2.0,1.0,1.5,0.12352375652092885,0.0,0.9845
misspec,0.75,2.0,1.0,2.0,0.12013736548296092,0.0,0.8625
misspec,0.75,2.0,1.5,0.5,0.1396231300332298,0.0,1.0
misspec,0.75,2.0,1.5,0.75,0.1354413568333742,0.0,1.0
misspec,0.75,2.0,1.5,1.0,0.13939223939553239,0.0,1.0
misspec,0.75,2.0,1.5,1.5,0.1363835476366441,0.0,0.9995
misspec,0.75,2.0,1.5,2.0,0.11871567647572562,0.0,0.979
misspec,0.75,2.0,2.0,0.5,0.14198767066936324,0.0,1.0
misspec,0.75,2.0,2.0,0.75,0.13537698131554537,0.0,1.0
misspec,0.75,2.0,2.0,1.0,0.14020214592704605,0.0,1.0
misspec,0.75,2.0,2.0,1.5,0.13798773129988626,0.0,1.0
misspec,0.75,2.0,2.0,2.0,0.1296118160954686,0.0,0.997
misspec,1.0,0.5,0.5,0.5,0.20920757651099164,0.7365,0.068
misspec,1.0,0.5,0.5,0.75,0.11990772670235629,2.366,0.004
misspec,1.0,0.5,0.5,1.0,0.07389431067630366,3.792,0.0
misspec,1.0,0.5,0.5,1.5,0.02528752574969346,5.5415,0.0
misspec,1.0,0.5,0.5,2.0,0.007173601976871566,6.292,0.0
misspec,1.0,0.5,0.75,0.5,0.2883409553828154,0.1195,0.303
misspec,1.0,0.5,0.75,0.75,0.17468554265366967,1.086,0.0175
misspec,1.0,0.5,0.75,1.0,0.10908011704330943,2.5945,0.001
misspec,1.0,0.5,0.75,1.5,0.041287118923202484,4.8775,0.0
misspec,1.0,0.5,0.75,2.0,0.014079920820974394,5.9645,0.0
misspec,1.0,0.5,1.0,0.5,0.3543728862345397,0.0135,0.594
misspec,1.0,0.5,1.0,0.75,0.21596914416269514,0.4395,0.081
misspec,1.0,0.5,1.0,1.0,0.13989136686838272,1.665,0.0065
misspec,1.0,0.5,1.0,1.5,0.05644342945032986,4.2565,0.0
misspec,1.0,0.5,1.0,2.0,0.020811753566177173,5.642,0.0
misspec,1.0,0.5,1.5,0.5,0.3909632511607214,0.0,0.8885
misspec,1.0,0.5,1.5,0.75,0.2840582646526642,0.052,0.2805
misspec,1.0,0.5,1.5,1.0,0.19839706653896813,0.647,0.032
misspec,1.0,0.5,1.5,1.5,0.08261240803595925,3.236,0.0
misspec,1.0,0.5,1.5,2.0,0.033337928731969696,5.052,0.0
misspec,1.0,0.5,2.0,0.5,0.4300847160815883,0.0,0.976
misspec,1.0,0.5,2.0,0.75,0.3397941871255392,0.0025,0.516
misspec,1.0,0.5,2.0,1.0,0.23820579702818806,0.197,0.1045
misspec,1.0,0.5,2.0,1.5,0.10947720124285726,2.3455,0.0015
misspec,1.0,0.5,2.0,2.0,0.046246853776588465,4.4825,0.0
misspec,1.0,0.75,0.5,0.5,0.22044802734622895,0.087,0.421
misspec,1.0,0.75,0.5,0.75,0.14404009060580822,0.5775,0.0915
misspec,1.0,0.75,0.5,1.0,0.10723963036215108,1.3895,0.007
misspec,1.0,0.75,0.5,1.5,0.05874704008354499,3.2885,0.0
misspec,1.0,0.75,0.5,2.0,0.032305438542202296,4.617,0.0
misspec,1.0,0.75,0.75,0.5,0.2770738375794036,0.007,0.825
misspec,1.0,0.75,0.75,0.75,0.20908109817277948,0.067,0.3335
misspec,1.0,0.75,0.75,1.0,0.1501492174443085,0.424,0.072
misspec,1.0,0.75,0.75,1.5,0.08806224853118576,2.007,0.003
